Chile,,,,,,
period,my_month,year,source,deuda_total,deuda_interna,deuda_externa
"01 March, 2015",March,2015,UF,20002200000,20002200000,0
"01 March, 2015",March,2015,Euros,928200000,0,5105100000
"01 March, 2015",March,2015,Pesos,8459600000,7766800000,692900000
"01 March, 2015",March,2015,Otras,400000,0,400000
"01 March, 2016",March,2016,Dólares USA,5576800000,0,5576800000
"01 March, 2016",March,2016,UF,22956800000,22956800000,0
"01 March, 2016",March,2016,Euros,3911400000,0,3911400000
"01 March, 2016",March,2016,Pesos,10524500000,9881100000,643400000
"01 March, 2016",March,2016,Otras,400000,0,400000
"01 March, 2016",March,2016,UTM,0,0,0
"01 March, 2017",March,2017,Dólares USA,5787900000,0,5787900000
"01 March, 2017",March,2017,UF,25726900000,25726900000,0
"01 March, 2017",March,2017,Euros,3689500000,0,3689500000
"01 March, 2017",March,2017,Pesos,19567400000,18912000000,655500000
"01 March, 2017",March,2017,Otras,1300000,0,300000
"01 March, 2017",March,2017,UTM,1000000,1000000,0
"01 March, 2017",March,2017,Dólares USA,5787900000,0,5787900000
"01 March, 2017",March,2017,UF,25726900000,25726900000,0
"01 March, 2017",March,2017,Euros,3689500000,0,3689500000
"01 March, 2017",March,2017,Pesos,19567400000,18912000000,655500000
"01 March, 2017",March,2017,Otras,1300000,0,300000
"01 March, 2017",March,2017,UTM,1000000,1000000,0
"01 March, 2018",March,2018,Dólares USA,8262000000,0,8262000000
"01 March, 2018",March,2018,UF,31735200000,31735200000,0
"01 March, 2018",March,2018,Euros,6140100000,0,6140100000
"01 March, 2018",March,2018,Pesos,25055100000,24337500000,717600000
"01 March, 2018",March,2018,Otras,1400000,0,300000
"01 March, 2018",March,2018,UTM,1100000,1100000,0
"01 March, 2019",March,2019,Dólares USA,8162900000,0,8162900000
"01 March, 2019",March,2019,UF,31118800000,31118800000,0
"01 March, 2019",March,2019,Euros,5575700000,31118800000,5575700000
"01 March, 2019",March,2019,Pesos,28197700000,27560000000,637700000
"01 March, 2019",March,2019,Otras,900000,0,200000
"01 March, 2019",March,2019,UTM,700000,700000,0
"01 March, 2020",March,2020,Dólares USA,10434800000,0,10434800000
"01 March, 2020",March,2020,UF,27010000000,27010000000,0
"01 March, 2020",March,2020,Euros,8055000000,0,8055000000
"01 March, 2020",March,2020,Pesos,24521800000,24072300000,449600000
"01 March, 2020",March,2020,Otras,400000,0,100000
"01 March, 2020",March,2020,UTM,300000,300000,0
"01 March, 2020",March,2020,Dólares USA,10434800000,0,10434800000
"01 March, 2021",March,2021,Dólares USA,13886700000,0,13886700000
"01 March, 2021",March,2021,UF,30466700000,30466700000,0
"01 March, 2021",March,2021,Euros,11078500000,0,11078500000
"01 March, 2021",March,2021,Pesos,36926600000,36926600000,0
"01 March, 2021",March,2021,Otras,100000,0,100000
"01 March, 2021",March,2021,UTM,0,0,0
"01 September, 2010",September,2010,Dólares USA,3411800000,0,3411800000
"01 September, 2010",September,2010,Unidades de Fomento,11558900000,11558900000,0
"01 September, 2010",September,2010,Unidad de Cuenta BID,0,0,0
"01 September, 2010",September,2010,Euros,108900000,0,108900000
"01 September, 2010",September,2010,Pes os,2941500000,2380400000,561200000
"01 September, 2010",September,2010,Otras,900000,0,900000
"01 September, 2010",September,2010,Dólares  USA,3368700000,0,3368700000
"01 September, 2010",September,2010,Unidades  de Fomento,11558900000,11558900000,0
"01 September, 2010",September,2010,Unidad de Cuenta  BID,43100000,0,43100000
"01 September, 2010",September,2010,Pesos,2941500000,2380400000,561200000
"01 September, 2010",September,2010,Otra s,900000,0,900000
"01 September, 2011",September,2011,Dólares USA,4334700000,0,4334700000
"01 September, 2011",September,2011,UF,15737600000,15737600000,0
"01 September, 2011",September,2011,Euros,96800000,0,96800000
"01 September, 2011",September,2011,Pesos,4392300000,3549100000,843200000
"01 September, 2011",September,2011,Otras,800000,0,800000
"01 September, 2011",September,2011,Unidades de Fomento,15737600000,15737600000,0
"01 September, 2012",September,2012,Dólares USA,3655900000,0,3655900000
"01 September, 2012",September,2012,UF,20784400000,20784400000,0
"01 September, 2012",September,2012,Euros,84400000,0,84400000
