month,year,period,full_date
March,march_2016,"1 March, march_2016",2016-03-01
June,june_2016,"1 June, june_2016",2016-06-01
September,sept_2016,"1 September, sept_2016",2016-09-01
December,dec_2016,"1 December, dec_2016",2016-12-01
March,march_2016,"1 March, march_2016",2016-03-01
June,june_2016,"1 June, june_2016",2016-06-01
September,sept_2016,"1 September, sept_2016",2016-09-01
December,dec_2016,"1 December, dec_2016",2016-12-01
March,march_2016,"1 March, march_2016",2016-03-01
June,june_2016,"1 June, june_2016",2016-06-01
September,sept_2016,"1 September, sept_2016",2016-09-01
December,dec_2016,"1 December, dec_2016",2016-12-01
March,march_2016,"1 March, march_2016",2016-03-01
June,june_2016,"1 June, june_2016",2016-06-01
September,sept_2016,"1 September, sept_2016",2016-09-01
December,dec_2016,"1 December, dec_2016",2016-12-01
March,march_2016,"1 March, march_2016",2016-03-01
June,june_2016,"1 June, june_2016",2016-06-01
September,sept_2016,"1 September, sept_2016",2016-09-01
December,dec_2016,"1 December, dec_2016",2016-12-01
March,march_2016,"1 March, march_2016",2016-03-01
June,june_2016,"1 June, june_2016",2016-06-01
September,sept_2016,"1 September, sept_2016",2016-09-01
December,dec_2016,"1 December, dec_2016",2016-12-01
March,march_2016,"1 March, march_2016",2016-03-01
June,june_2016,"1 June, june_2016",2016-06-01
September,sept_2016,"1 September, sept_2016",2016-09-01
December,dec_2016,"1 December, dec_2016",2016-12-01
March,,"1 March, NA",
June,junio_2017,"1 June, junio_2017",2017-06-01
September,sept_2017,"1 September, sept_2017",2017-09-01
December,dec_2017,"1 December, dec_2017",2017-12-01
March,,"1 March, NA",
June,junio_2017,"1 June, junio_2017",2017-06-01
September,sept_2017,"1 September, sept_2017",2017-09-01
December,dec_2017,"1 December, dec_2017",2017-12-01
March,,"1 March, NA",
June,junio_2017,"1 June, junio_2017",2017-06-01
September,sept_2017,"1 September, sept_2017",2017-09-01
December,dec_2017,"1 December, dec_2017",2017-12-01
March,,"1 March, NA",
June,junio_2017,"1 June, junio_2017",2017-06-01
September,sept_2017,"1 September, sept_2017",2017-09-01
December,dec_2017,"1 December, dec_2017",2017-12-01
March,,"1 March, NA",
June,junio_2017,"1 June, junio_2017",2017-06-01
September,sept_2017,"1 September, sept_2017",2017-09-01
December,dec_2017,"1 December, dec_2017",2017-12-01
March,,"1 March, NA",
June,junio_2017,"1 June, junio_2017",2017-06-01
September,sept_2017,"1 September, sept_2017",2017-09-01
December,dec_2017,"1 December, dec_2017",2017-12-01
March,,"1 March, NA",
June,junio_2017,"1 June, junio_2017",2017-06-01
September,sept_2017,"1 September, sept_2017",2017-09-01
December,dec_2017,"1 December, dec_2017",2017-12-01
March,,"1 March, NA",
June,junio_2017,"1 June, junio_2017",2017-06-01
September,sept_2017,"1 September, sept_2017",2017-09-01
December,dec_2017,"1 December, dec_2017",2017-12-01
March,,"1 March, NA",
June,junio_2017,"1 June, junio_2017",2017-06-01
September,sept_2017,"1 September, sept_2017",2017-09-01
December,dec_2017,"1 December, dec_2017",2017-12-01
March,,"1 March, NA",
June,junio_2017,"1 June, junio_2017",2017-06-01
September,sept_2017,"1 September, sept_2017",2017-09-01
December,dec_2017,"1 December, dec_2017",2017-12-01
March,,"1 March, NA",
June,junio_2017,"1 June, junio_2017",2017-06-01
September,sept_2017,"1 September, sept_2017",2017-09-01
December,dec_2017,"1 December, dec_2017",2017-12-01
March,,"1 March, NA",
June,junio_2017,"1 June, junio_2017",2017-06-01
September,sept_2017,"1 September, sept_2017",2017-09-01
December,dec_2017,"1 December, dec_2017",2017-12-01
March,march_2018,"1 March, march_2018",2018-03-01
June,june_2018,"1 June, june_2018",2018-06-01
September,sept_2018,"1 September, sept_2018",2018-09-01
December,dec_2018,"1 December, dec_2018",2018-12-01
March,march_2018,"1 March, march_2018",2018-03-01
June,june_2018,"1 June, june_2018",2018-06-01
September,sept_2018,"1 September, sept_2018",2018-09-01
December,dec_2018,"1 December, dec_2018",2018-12-01
March,march_2018,"1 March, march_2018",2018-03-01
June,june_2018,"1 June, june_2018",2018-06-01
September,sept_2018,"1 September, sept_2018",2018-09-01
December,dec_2018,"1 December, dec_2018",2018-12-01
March,march_2018,"1 March, march_2018",2018-03-01
June,june_2018,"1 June, june_2018",2018-06-01
September,sept_2018,"1 September, sept_2018",2018-09-01
December,dec_2018,"1 December, dec_2018",2018-12-01
March,march_2018,"1 March, march_2018",2018-03-01
June,june_2018,"1 June, june_2018",2018-06-01
September,sept_2018,"1 September, sept_2018",2018-09-01
December,dec_2018,"1 December, dec_2018",2018-12-01
March,march_2018,"1 March, march_2018",2018-03-01
June,june_2018,"1 June, june_2018",2018-06-01
September,sept_2018,"1 September, sept_2018",2018-09-01
December,dec_2018,"1 December, dec_2018",2018-12-01
March,march_2018,"1 March, march_2018",2018-03-01
June,june_2018,"1 June, june_2018",2018-06-01
September,sept_2018,"1 September, sept_2018",2018-09-01
December,dec_2018,"1 December, dec_2018",2018-12-01
March,march_2018,"1 March, march_2018",2018-03-01
June,june_2018,"1 June, june_2018",2018-06-01
September,sept_2018,"1 September, sept_2018",2018-09-01
December,dec_2018,"1 December, dec_2018",2018-12-01
March,march_2018,"1 March, march_2018",2018-03-01
June,june_2018,"1 June, june_2018",2018-06-01
September,sept_2018,"1 September, sept_2018",2018-09-01
December,dec_2018,"1 December, dec_2018",2018-12-01
March,march_2018,"1 March, march_2018",2018-03-01
June,june_2018,"1 June, june_2018",2018-06-01
September,sept_2018,"1 September, sept_2018",2018-09-01
December,dec_2018,"1 December, dec_2018",2018-12-01
March,march_2018,"1 March, march_2018",2018-03-01
June,june_2018,"1 June, june_2018",2018-06-01
September,sept_2018,"1 September, sept_2018",2018-09-01
December,dec_2018,"1 December, dec_2018",2018-12-01
March,march_2018,"1 March, march_2018",2018-03-01
June,june_2018,"1 June, june_2018",2018-06-01
September,sept_2018,"1 September, sept_2018",2018-09-01
December,dec_2018,"1 December, dec_2018",2018-12-01
March,march_2019,"1 March, march_2019",2019-03-01
June,june_2019,"1 June, june_2019",2019-06-01
September,september_2019,"1 September, september_2019",2019-09-01
December,december_2019,"1 December, december_2019",2019-12-01
March,march_2019,"1 March, march_2019",2019-03-01
June,june_2019,"1 June, june_2019",2019-06-01
September,september_2019,"1 September, september_2019",2019-09-01
December,december_2019,"1 December, december_2019",2019-12-01
March,march_2019,"1 March, march_2019",2019-03-01
June,june_2019,"1 June, june_2019",2019-06-01
September,september_2019,"1 September, september_2019",2019-09-01
December,december_2019,"1 December, december_2019",2019-12-01
March,march_2019,"1 March, march_2019",2019-03-01
June,june_2019,"1 June, june_2019",2019-06-01
September,september_2019,"1 September, september_2019",2019-09-01
December,december_2019,"1 December, december_2019",2019-12-01
March,march_2019,"1 March, march_2019",2019-03-01
June,june_2019,"1 June, june_2019",2019-06-01
September,september_2019,"1 September, september_2019",2019-09-01
December,december_2019,"1 December, december_2019",2019-12-01
March,march_2019,"1 March, march_2019",2019-03-01
June,june_2019,"1 June, june_2019",2019-06-01
September,september_2019,"1 September, september_2019",2019-09-01
December,december_2019,"1 December, december_2019",2019-12-01
March,march_2019,"1 March, march_2019",2019-03-01
June,june_2019,"1 June, june_2019",2019-06-01
September,september_2019,"1 September, september_2019",2019-09-01
December,december_2019,"1 December, december_2019",2019-12-01
March,march_2019,"1 March, march_2019",2019-03-01
June,june_2019,"1 June, june_2019",2019-06-01
September,september_2019,"1 September, september_2019",2019-09-01
December,december_2019,"1 December, december_2019",2019-12-01
March,march_2019,"1 March, march_2019",2019-03-01
June,june_2019,"1 June, june_2019",2019-06-01
September,september_2019,"1 September, september_2019",2019-09-01
December,december_2019,"1 December, december_2019",2019-12-01
March,march_2019,"1 March, march_2019",2019-03-01
